posting_id,role_category,city,company,salary_min,salary_max,posted_date,sql,python,power_bi,tableau,excel,azure,aws,spark,r,snowflake,dbt,genai_llm
5837139879,ai_engineer,Pune,Capco,,,2026-08-12T01:59:43Z,False,False,False,False,False,False,False,False,False,False,False,True
5846723676,ai_engineer,Mumbai,Morningstar,,,2026-08-18T18:03:43Z,False,False,False,False,False,False,False,False,False,False,False,False
5837139696,ai_engineer,India,Capco,,,2026-08-12T01:59:40Z,False,False,False,False,False,False,False,False,False,False,False,False
5837843493,ai_engineer,Hyderabad,Cornerstone OnDemand,,,2026-08-12T11:59:19Z,False,False,False,False,False,False,False,False,False,False,False,False
5837138874,ai_engineer,Hyderabad,Cornerstone OnDemand,,,2026-08-12T01:59:18Z,False,False,False,False,False,False,False,False,False,False,False,False
5842114998,ai_engineer,Gurugram,Criteo,,,2026-08-15T00:04:14Z,False,False,False,False,False,False,False,False,False,False,False,False
5846723052,ai_engineer,Pune,Deutsche Bank,,,2026-08-18T18:03:33Z,False,False,False,False,False,False,False,False,False,False,False,False
5854537872,ai_engineer,Bengaluru,Standard Chartered Bank,,,2026-08-25T00:07:49Z,False,False,False,False,False,False,False,False,False,False,False,False
5795883295,ai_engineer,Bengaluru,MSCI,,,2026-07-10T23:42:23Z,False,False,False,False,False,False,False,False,False,False,False,False
5854537869,ai_engineer,India,S&P Global,,,2026-08-25T00:07:48Z,False,False,False,False,False,False,False,False,False,False,False,False
5846723386,ai_engineer,Pune,Deutsche Bank,,,2026-08-18T18:03:38Z,False,False,False,False,False,False,False,False,False,False,False,False
5846723241,ai_engineer,Bengaluru,HP,,,2026-08-18T18:03:36Z,False,False,False,False,False,False,False,False,False,False,False,False
5848650878,ai_engineer,Mumbai,Morningstar,,,2026-08-20T00:04:21Z,False,False,False,False,False,False,False,False,False,False,False,False
5847959803,ai_engineer,Bengaluru,Moody's,,,2026-08-19T14:05:01Z,False,False,False,False,False,False,False,False,False,False,False,False
5849296984,ai_engineer,Mumbai,Kyndryl,,,2026-08-20T10:04:35Z,False,False,False,False,False,False,False,False,False,False,False,False
5849296982,ai_engineer,Mumbai,Kyndryl,,,2026-08-20T10:04:35Z,False,False,False,False,False,False,False,False,False,False,False,False
5837138840,ai_engineer,Mumbai,Kyndryl,,,2026-08-12T01:59:18Z,False,False,False,False,False,False,False,False,False,False,False,False
5812528326,ai_engineer,Bengaluru,Accenture,,,2026-07-23T22:17:08Z,False,False,False,False,False,False,False,False,False,False,False,False
5846723645,ai_engineer,Pune,Danaher,,,2026-08-18T18:03:43Z,False,False,False,False,False,False,False,False,False,False,False,False
5837139267,ai_engineer,Mumbai,Kyndryl,,,2026-08-12T01:59:32Z,False,False,False,False,False,False,False,False,False,False,False,False
5846723487,ai_engineer,India,Moody's,,,2026-08-18T18:03:40Z,False,False,False,False,False,False,False,False,False,False,False,False
5852164474,ai_engineer,Pune,Deutsche Bank,,,2026-08-22T12:06:25Z,False,False,False,False,False,False,False,False,False,False,False,False
5800931488,ai_engineer,Noida,Aristocrat,,,2026-07-15T14:16:25Z,False,False,False,False,False,False,False,False,False,False,False,False
5847959723,ai_engineer,Bengaluru,HP,,,2026-08-19T14:04:56Z,False,False,False,False,False,False,False,False,False,False,False,False
5827735875,ai_engineer,Kolkata,Brainware University,,,2026-08-04T17:45:09Z,False,False,False,False,False,False,False,False,False,False,False,False
5840277215,ai_engineer,Bengaluru,Standard Chartered Bank,,,2026-08-13T18:00:01Z,False,False,False,False,False,False,False,False,False,False,False,False
5849297003,ai_engineer,Hyderabad,Cornerstone OnDemand,,,2026-08-20T10:04:40Z,False,False,False,False,False,False,False,False,False,False,False,False
5850983450,ai_engineer,Hyderabad,QualiZeal,,,2026-08-21T17:26:37Z,False,False,False,False,False,False,False,False,False,False,False,False
5841509248,ai_engineer,Hyderabad,Cornerstone OnDemand,,,2026-08-14T14:19:18Z,False,False,False,False,False,False,False,False,False,False,False,False
5837138942,ai_engineer,Hyderabad,Cornerstone OnDemand,,,2026-08-12T01:59:19Z,False,False,False,False,False,False,False,False,False,False,False,True
5818525036,ai_engineer,Delhi,ACNS AI SOLUTIONS LLP,,,2026-07-28T21:19:17Z,False,False,False,False,False,False,False,False,False,False,False,False
5833434723,ai_engineer,Delhi,Nomiso,,,2026-08-08T17:59:47Z,False,False,False,False,False,False,False,False,False,False,False,False
5785772796,ai_engineer,Hyderabad,MSD,,,2026-07-03T00:54:29Z,False,False,False,False,False,False,False,False,False,False,False,False
5846299062,ai_engineer,India,EXL,,,2026-08-18T13:09:25Z,False,False,False,False,False,False,False,False,False,False,False,True
5846723213,ai_engineer,Pune,Deutsche Bank,,,2026-08-18T18:03:35Z,False,False,False,False,False,False,False,False,False,False,False,False
5840224801,ai_engineer,Mumbai,AQM Technologies,,,2026-08-13T16:19:07Z,False,False,False,False,False,False,False,False,False,False,False,False
5841755314,ai_engineer,Mumbai,AQM Technologies,,,2026-08-14T16:34:27Z,False,False,False,False,False,False,False,False,False,False,False,False
5837138914,ai_engineer,Hyderabad,Cornerstone OnDemand,,,2026-08-12T01:59:19Z,False,False,False,False,False,False,False,False,False,False,False,False
5832769922,ai_engineer,Bengaluru,Leadrat,960000.0,1200000.0,2026-08-08T06:52:26Z,False,False,False,False,False,False,False,False,False,False,False,True
5814756829,ai_engineer,Bengaluru,Arohana Tech Solutions Private Limited,1500000.0,1980000.0,2026-07-25T06:50:26Z,False,False,False,False,False,False,False,False,False,False,False,True
5836227802,ai_engineer,Mumbai,Kooe Private Limited,2000000.0,2500000.0,2026-08-11T06:57:29Z,False,False,False,False,False,False,False,False,False,False,False,True
